country,code,share_pct,source_text,source_url,claim_id,note
インド,IND,20,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf,c251,
台湾,TWN,15,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf,c251,
トルコ,TUR,12,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf,c251,
中国,CHN,10,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf,c251,
インドネシア,IDN,10,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf,c251,
日本,JPN,8,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf,c251,国内調査（ARC 1.48%）とも、同じ集計元によるOWIDの5.4%とも食い違う。一次資料をたどれない
タイ,THA,8,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf,c251,
韓国,KOR,5,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf,c251,
ベトナム,VNM,0,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf,c251,
ロシア,RUS,0,"Global Coalition for Animal Welfare「Cage Free Eggs: A Global Landscape Review」（2023年12月）の国別表「Country Status（% of cage-free production）」列。同表の脚注6は「Figures mainly taken from Welfare Footprint Project, Center for Welfare Metrics」とし、国ごとの一次資料も分母の定義も示していない",https://www.gc-animalwelfare.org/wp-content/uploads/2024/02/GCAW-Knowledge-Share-Cage-Free-Eggs-Global-Landscape-Review-Executive-Summary.pdf,c251,
