country,code,year,share_pct,source,show
オーストリア,AUT,2025,100.0,owid,1
ルクセンブルク,LUX,2025,100.0,owid,0
スイス,CHE,2018,100.0,owid,1
スウェーデン,SWE,2025,99.3,owid,1
ドイツ,DEU,2025,99.3,owid,1
ノルウェー,NOR,2020,91.0,owid,0
デンマーク,DNK,2025,90.2,owid,1
オランダ,NLD,2025,85.2,owid,1
スロベニア,SVN,2025,85.2,owid,0
イギリス,GBR,2025,82.7,owid,1
フィンランド,FIN,2025,81.0,owid,0
アイルランド,IRL,2025,75.0,owid,0
フランス,FRA,2023,69.9,owid,1
イタリア,ITA,2025,66.8,owid,1
ベルギー,BEL,2024,66.0,owid,0
ルーマニア,ROU,2025,58.2,owid,0
クロアチア,HRV,2025,58.0,owid,0
チェコ,CZE,2025,57.2,owid,0
ラトビア,LVA,2025,54.4,owid,0
スロバキア,SVK,2025,50.1,owid,0
エジプト,EGY,2013,50.0,owid,0
ガーナ,GHA,2013,50.0,owid,0
オーストラリア,AUS,2018,45.5,owid,1
アメリカ,USA,2025,45.3,owid,1
キプロス,CYP,2025,40.3,owid,0
スペイン,ESP,2025,40.2,owid,1
ポーランド,POL,2025,37.8,owid,0
ブルガリア,BGR,2025,35.5,owid,0
ニュージーランド,NZL,2018,33.6,owid,1
ポルトガル,PRT,2024,32.9,owid,0
ハンガリー,HUN,2024,32.4,owid,0
コロンビア,COL,2018,30.0,owid,0
ナイジェリア,NGA,2017,30.0,owid,0
ギリシャ,GRC,2020,23.5,owid,0
リトアニア,LTU,2024,23.4,owid,0
エストニア,EST,2025,22.9,owid,0
カザフスタン,KAZ,2018,15.0,owid,0
南アフリカ,ZAF,2018,14.0,owid,0
カナダ,CAN,2018,13.0,owid,1
トルコ,TUR,2018,12.0,owid,0
ウルグアイ,URY,2016,12.0,owid,0
アルゼンチン,ARG,2018,11.0,owid,0
ペルー,PER,2018,7.0,owid,0
日本,JPN,2018,5.4,owid,0
ブラジル,BRA,2018,5.0,owid,1
中国,CHN,2018,3.0,owid,1
チリ,CHL,2016,2.0,owid,0
日本,JPN,2025,1.5,arc,1
マルタ,MLT,2025,1.0,owid,0
メキシコ,MEX,2020,0.5,owid,0
ロシア,RUS,2018,0.1,owid,1
アルジェリア,DZA,2013,0.0,owid,0
アルメニア,ARM,2013,0.0,owid,0
アゼルバイジャン,AZE,2013,0.0,owid,0
ベラルーシ,BLR,2013,0.0,owid,0
キューバ,CUB,2013,0.0,owid,0
エクアドル,ECU,2013,0.0,owid,0
ジョージア,GEO,2013,0.0,owid,0
インド,IND,2017,0.0,owid,1
イラン,IRN,2018,0.0,owid,0
キルギス,KGZ,2013,0.0,owid,0
リビア,LBY,2013,0.0,owid,0
モロッコ,MAR,2013,0.0,owid,0
タジキスタン,TJK,2013,0.0,owid,0
トルクメニスタン,TKM,2013,0.0,owid,0
ウクライナ,UKR,2017,0.0,owid,0
アラブ首長国連邦,ARE,2013,0.0,owid,0
ウズベキスタン,UZB,2013,0.0,owid,0
ベネズエラ,VEN,2013,0.0,owid,0
