claim_id,section,claim,source_text,source_url
c101,殺される数,2023年のブロイラー・廃鶏・豚の処理数の合計は約8.4億で、日本の人口の約6.8倍にあたる,"畜産物流通調査（食鳥流通統計・と畜統計）の2023年確報値の合計。ブロイラー745,636千羽＋廃鶏74,916千羽＋豚16,407千頭＝836,959千。旧記載の8.2億は豚の統計表が2017年で更新停止していたため豚を欠いていた",https://www.e-stat.go.jp/stat-search/files?tclass=000001020202
c102,殺される数,"ブロイラーの処理羽数は2023年に7億4,563万6千羽",食鳥流通統計 ブロイラー処理羽数（2023年）,https://www.e-stat.go.jp/stat-search/files?tclass=000001020202
c103,殺される数,"廃鶏（採卵鶏など成鶏）の処理羽数は2023年に7,491万6千羽",食鳥流通統計 成鶏処理羽数（2023年）,https://www.e-stat.go.jp/stat-search/files?tclass=000001020202
c104,殺される数,雄ひよこの殺処分数は公式統計がなく、雌雛と概ね同数孵化する前提で廃鶏と同数と仮定した概算値,本サイト独自の推計。前提の妥当性を要検証,
c105,殺される数,"豚のと畜頭数は2023年に16,406,981頭（1,641万頭）","e-Stat「畜産物と畜（処理）頭羽数及び生産量（明治10年～令和5年）」（畜産物流通統計 確報、2025年4月30日公表）の令和5年・豚の頭数。旧記載の2017年1,634万頭は参照統計表が更新停止していたため",https://www.e-stat.go.jp/stat-search/files?toukei=00500227&tstat=000001044816&tclass1=000001044818&tclass2=000001218980&layout=datalist&cycle=7
c106,殺される数,"犬猫の殺処分数は2023年度に9,017頭",環境省「犬・猫の引取り及び負傷動物の収容状況」,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html
c107,殺される数,ブロイラーは生後およそ50日で出荷される,飼養実態調査等。一次資料の特定が必要,
c108,殺される数,採卵鶏は卵を産む量が落ちる1〜2年で廃鶏として処理される,一次資料の特定が必要,
c111,飼育数,採卵鶏とブロイラーはそれぞれ1億羽を超え、合計で日本の人口の2倍以上,畜産統計調査 成鶏めす飼養羽数・ブロイラー飼養羽数（各年2月1日現在）,https://www.e-stat.go.jp/stat-search/files?tclass=000001020194
c112,飼育数,"2024年の採卵鶏（種鶏を除く成鶏めす）飼養羽数は1億2,973万羽",畜産統計調査（2024年2月1日現在）,https://www.e-stat.go.jp/stat-search/files?tclass=000001020194
