year,dogs,cats,total,source_text,source_url,claim_id
2013,,,128241,環境省「犬・猫の引取り及び負傷動物の収容状況」2013年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
2014,,,101338,環境省「犬・猫の引取り及び負傷動物の収容状況」2014年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
2015,,,82902,環境省「犬・猫の引取り及び負傷動物の収容状況」2015年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
2016,,,55998,環境省「犬・猫の引取り及び負傷動物の収容状況」2016年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
2017,,,43227,環境省「犬・猫の引取り及び負傷動物の収容状況」2017年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
2018,,,38444,環境省「犬・猫の引取り及び負傷動物の収容状況」2018年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
2019,,,32743,環境省「犬・猫の引取り及び負傷動物の収容状況」2019年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
2020,,,23764,環境省「犬・猫の引取り及び負傷動物の収容状況」2020年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
2021,,,14457,環境省「犬・猫の引取り及び負傷動物の収容状況」2021年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
2022,2434,9472,11906,環境省「犬・猫の引取り及び負傷動物の収容状況」2022年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
2023,2118,6899,9017,環境省「犬・猫の引取り及び負傷動物の収容状況」2023年度の殺処分数,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html,c106
