year,layers_thousand,layer_farms,broilers_thousand,broiler_farms,pigs_thousand,sows_thousand,pig_farms
1960,,,,,,,799100
1961,,,,,,,907800
1962,,,,,,,1025000
1963,,,,,,,802600
1964,,,,,,,711200
1965,,,,,,,701600
1966,,,,,,,714300
1967,,,,,,,649500
1968,,,,,,,530600
1969,,,,,,,461030
1970,,,,,,,444500
1971,,,,,,,398300
1972,,,,,,,339700
1973,,,,,,,321100
1974,,,,,,,277400
1975,,,,,,,223400
1976,,,,,,,195600
1977,,,,,,,178900
1978,,,,,,,165200
1979,,,,,,,156300
1980,,,,,,,141300
1981,,,,,,,126700
1982,,,,,,,111800
1983,,,,,,,100500
1984,,,,,,,91500
1985,,,,,,,83100
1986,,,,,,,74200
1987,,,,,,,65100
1988,,,,,,,57500
1989,,,,,,,50200
1990,,,,,,,43400
1991,,,,,,,36000
1992,,,,,,,29900
1993,,,,,,,25300
1994,,,,,,,22100
1995,,,,,,,18800
1996,,,,,,,16000
1997,,,,,,,14400
1998,,,,,,,13400
1999,,,,,,,12500
2000,137000,4690,108000,3830,9806,940,11700
2001,,,,,,,10800
2002,,,,,,,10000
2003,,,,,,,9430
2004,,,,,,,8880
2005,136000,3990,104000,3350,9724,919,8880
2006,,,,,,,7800
2007,,,,,,,7550
2008,,,,,,,7230
2009,,,,,,,6890
2010,140000,3110,107000,2960,9899,902,6890
2011,,,,,,,6010
2012,,,,,,,5840
2013,,,,2420,,,5570
2014,,,,2380,,,5270
2015,134569,2760,132622,2360,9537,853,4830
2016,,,,2360,,,4830
2017,,,,,,,4670
2018,,,,,,,4470
2019,,,,,,,4320
2020,141792,2120,139658,2250,9290,846,3850
2021,140697,2010,139700,2160,9244,830,3690
2022,137291,1810,139230,2100,8949,817,3590
2023,128600,1690,141463,2100,8956,792,3370
2024,129729,1640,141800,2060,8798,758,3190
