year,broilers_slaughtered_thousand,layers_culled_thousand,pigs_slaughtered_thousand
1996,599473,,
1997,589311,,
1998,571727,,
1999,571485,,
2000,569234,95000,16964
2001,567876,,
2002,586045,,
2003,595283,,
2004,589957,,
2005,606898,93000,16440
2006,621820,,
2007,622834,,
2008,629766,,
2009,634692,,
2010,633799,95000,16850
2011,617176,,
2012,649629,,
2013,653999,,
2014,661030,,
2015,687000,90000,16250
2020,713834,100000,16500
2021,720000,95000,16500
2022,737217,83304,16530
2023,745636,74916,16700
